frame,hip_height,hip_y_velocity,hip_x_velocity,hip_vertical_acceleration,hip_horizontal_acceleration,com_x,com_y,com_x_velocity,com_y_velocity,com_acceleration,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,left_ankle_angle,right_ankle_angle,torso_angle,torso_angle_velocity,knee_coordination,hip_coordination,ankle_coordination,knee_extension_power,hip_extension_power,ankle_power,left_knee_velocity,right_knee_velocity,vertical_momentum,sit_to_stand_power,trunk_flexion_velocity,forward_momentum,forward_acceleration,ankle_distance,heel_distance,toe_distance,base_of_support_width,base_of_support_length,lheel_y_velocity,rheel_y_velocity,lheel_x_velocity,rheel_x_velocity,step_asymmetry,stride_asymmetry,time_since_last_step,step_frequency,step_timing_variability,stride_length_variation,shoulder_angle,shoulder_rotation_velocity,hip_rotation,hip_rotation_velocity,axial_dissociation,axial_dissociation_velocity,head_yaw,head_yaw_velocity,torso_twist,torso_twist_velocity,direction_change_magnitude,turn_preparation_score,mediolateral_sway,anteroposterior_sway,weight_shift_x,weight_shift_y,stability_margin,body_sway,postural_control,movement_complexity,kinetic_energy,potential_energy,total_mechanical_energy,rotational_energy,concentric_power,eccentric_power,total_body_momentum,task_progression,progression_velocity,sit_to_stand_likelihood,walk_from_likelihood,turn_first_likelihood,walk_to_likelihood,turn_second_likelihood,stand_to_sit_likelihood,hip_y_velocity_smooth_5,turn_score_smooth_5,movement_complexity_smooth_5,hip_height_std_5,forward_momentum_std_5,rotation_variation_5,hip_y_velocity_smooth_10,turn_score_smooth_10,movement_complexity_smooth_10,hip_height_std_10,forward_momentum_std_10,rotation_variation_10,hip_y_velocity_smooth_15,turn_score_smooth_15,movement_complexity_smooth_15,hip_height_std_15,forward_momentum_std_15,rotation_variation_15,hip_y_velocity_smooth_30,turn_score_smooth_30,movement_complexity_smooth_30,hip_height_std_30,forward_momentum_std_30,rotation_variation_30,hip_y_acceleration,movement_jerk,rotation_acceleration,sustained_vertical_movement,sustained_forward_movement,sustained_turning,tug_subtask
0,0.6728202402591705,0.0,0.0,0.0,0.0,0.1104814484715461,0.5654013156890869,0.0,0.0,0.0,84.88022499730185,104.41003589602384,81.1115890174946,103.65396290709629,120.75850524326746,133.90598883491506,2.648217469619275,2.648217469619275,19.529810898721976,22.54237388960169,13.1474835916476,189.2902608933257,184.76555192459088,254.6644940781825,0,0,0.0,0.0,2.648217469619275,0.0,0.0,0.0307293832302093,0.0282804518938065,0.0257688164710999,0.0282804518938065,0.1039386987686156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.5202997920218,-20.5202997920218,-45.88049670932539,-45.88049670932539,25.360196917303597,25.360196917303597,-50.32175702265705,-50.32175702265705,25.360196917303597,25.360196917303597,0.0,35.05662973839628,0.0049576200544834,0.1074189245700836,0.0414072498679161,0.0426998734474182,0.0233228318393231,0.0,1000000.0,12.083365331139976,0.0,0.6728202402591705,0.6728202402591705,1263.051340924434,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
1,0.6719093024730682,-0.0273281335830688,-0.004349425435067,-0.0273281335830688,-0.004349425435067,0.1102557089179754,0.5645684823393822,-0.0067721866071228,-0.0249850004911422,0.0258865362878866,87.88037432878917,102.28250253678657,82.36317712529205,102.80295718680716,121.5661804376288,133.52052032371105,2.6072162827742096,-0.0410011868450652,14.40212820799738,20.43978006151511,11.954339886082238,190.16287686557573,185.1661343120992,255.0867007613398,0,0,0.0273281335830688,1.993234908290219,0.0410011868450652,0.0517451763153076,0.0517451763153076,0.0383782833814621,0.0350462943315506,0.034451276063919,0.0350462943315506,0.1024756431579588,-0.0012749433517456,-0.0451666116714477,0.1532328128814689,-0.0497424602508536,0.0438916683197021,0.2029752731323225,0.0333333333333333,0.0,0.0,0.0038244500756263,-21.222077567792528,-0.7017777757707293,-47.77367784042071,-47.77367784042071,26.551600272628185,47.07190006464998,-49.98576764343665,0.3359893792204005,26.551600272628185,47.07190006464998,105.16563790007568,24.024214573631507,0.0048768613487482,0.107340820133686,0.0416183546185493,0.0458562970161438,0.0301694329828023,0.0,38.62862764843023,10.136443257948226,0.0003828721933746,0.6719093024730682,0.6722921746664429,1141.4083932234353,0.0,0.000746826885134,0.0258865362878866,0.0041152263374485,0.9917695473251028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0273281335830688,1.9469220731917505,19.81852201625107,0,0,0,
2,0.6701101660728455,-0.0539740920066833,-0.014097690582277,-0.0266459584236145,-0.00974826514721,0.1099392250180244,0.5632137283682823,-0.0094945169985298,-0.0406426191329956,0.0417368942666451,89.99005926789351,100.2040336861368,84.14543715209888,102.06464220983922,120.35848025874748,132.3402343547225,2.699902798257397,0.0926865154831872,10.213974418243282,17.919205057740342,11.98175409597502,190.1940929540303,186.21007936193809,252.69871461347,0,0,0.0539740920066833,3.80219231472404,0.0926865154831872,-0.0195081532001507,-0.0712533295154584,0.0400836765766143,0.0385245531797408,0.0365800261497497,0.0385245531797408,0.0959612727165222,0.168306827545166,-0.0271242856979336,0.0326657295227034,-0.0716820359230049,0.1954311132430997,0.1043477654457084,0.0666666666666666,0.0,0.0,0.004067716305585,-22.100764280157264,-0.8786867123647362,-49.87682708704588,-49.87682708704588,27.77606280688861,48.99814037468114,-49.12455541348756,0.8612122299490892,27.77606280688861,48.99814037468114,2.0165901920905043,25.19852466074923,0.0050303004682064,0.1068964377045631,0.0422796979546547,0.0501675605773925,0.0334942527115344,0.0,23.959042917005792,10.620408760970273,0.0015559737438497,0.6701101660728455,0.6716661398166952,1244.2349853047797,0.0,0.0029132026079459,0.0417368942666451,0.0082304526748971,0.9835390946502056,0.0,0.0,0.0,0.0,0.0,0.0,-0.0267133712768554,27.1050735062418,10.74466997078633,0.0018735951922004,0.0266629193153149,8.674349387703712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0266459584236145,0.4839655030220449,0.1769089365940068,0,0,0,
3,0.6690919995307922,-0.0305449962615966,-0.0255830213427527,0.0234290957450866,-0.0114853307604756,0.1095064505934715,0.5622500777244568,-0.0129832327365871,-0.0289095193147659,0.0316910813842508,91.5422659664609,99.84230729468536,84.90220803617915,101.4784078244138,121.61046658599614,132.4270150855446,2.9255248839187047,0.2256220856613078,8.300041328224452,16.576199788234646,10.816548499548476,191.38457326114627,186.3806158605929,254.03748167154075,0,0,0.0305449962615966,1.9982188867044168,0.2256220856613078,-0.0023824721574779,0.0171256810426728,0.0434064865112304,0.0421281456947327,0.0392593145370482,0.0421281456947327,0.0968790650367735,-0.026974081993103,0.0005596876144375,0.0516714155673997,-0.0564363598823555,0.0275337696075406,0.1081077754497553,0.1,0.0,0.0,0.0046499306692275,-23.18901957852676,-1.0882552983694964,-50.17967050399752,-50.17967050399752,26.990650925470757,49.09141520562802,-48.07964093014885,1.0449144833387152,26.990650925470757,49.09141520562802,11.035747258558374,25.407643678503447,0.0054502934217453,0.1068419218063354,0.0434198826551437,0.0520765781402587,0.0366778522729874,0.0,31.55362337599393,10.492353413730974,0.0007937438888223,0.6690919995307922,0.6698857434196146,1259.5918157420938,0.0,0.0009329967966209,0.0316910813842508,0.0123456790123456,0.9753086419753086,0.0,0.0,0.0,0.0,0.0,0.0,-0.0279997587203979,25.252450431016165,10.410609929957204,0.0015357502979715,0.0267634046558852,0.8250938487583303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0234290957450866,0.1280553472392966,0.2095685860047602,0,0,0,
4,0.668368011713028,-0.0217196345329284,-0.0153652578592304,0.0088253617286682,0.0102177634835222,0.1092428397387265,0.5620843321084976,-0.0079083256423477,-0.004972368478775,0.0093416306260807,92.8210577997561,98.97991602504293,85.46441013959378,100.98746776398823,124.07526604968056,132.08454251686274,3.0742368134829854,0.1487119295642807,6.158858225286821,15.523057624394468,8.00927646718219,191.80097382479903,186.45187790358204,256.1598085665433,0,0,0.0217196345329284,1.3550828879483072,0.1487119295642807,0.0056397914886478,0.0080222636461257,0.046158105134964,0.0442408323287963,0.0391155481338501,0.0442408323287963,0.0980796813964843,-0.0356179475784301,0.0004005432128939,0.0373300909996016,-0.0260505080223058,0.0360184907913241,0.0633805990219074,0.1333333333333333,0.0,0.0,0.0052497270677606,-25.132960814887134,-1.9439412363603767,-51.19942232511514,-51.19942232511514,26.066461510228,49.25548108875476,-47.85839296147436,0.2212479686744899,26.066461510228,49.25548108875476,33.65553135451404,25.838354879928502,0.0056988578289747,0.1062836796045303,0.043473571538925,0.0540691018104553,0.0385419744998215,0.0,107.03623422812107,10.390779090142203,0.0003539168366623,0.668368011713028,0.6687219285496903,1312.5798769779603,0.0,0.0004717425242439,0.0093416306260807,0.0164609053497942,0.9670781893004116,0.0,0.0,0.0,0.0,0.0,0.0,-0.0222887992858886,25.575159105967124,10.467418043870683,0.000832394105001,0.0170107729492044,1.142612077906553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088253617286682,0.1015743235887711,0.8556859379908808,0,0,0,
5,0.6681536138057709,-0.0064319372177124,-0.0207197293639187,0.015287697315216,-0.0053544715046882,0.1089007891714572,0.5615284144878387,-0.0102615170180797,-0.0166775286197662,0.0195815906497777,92.70187616088094,98.79856729298874,85.575525799654,100.61161314436087,124.17056094090184,131.44891128162783,3.250894907516824,0.1766580940338382,6.096691132107793,15.036087344706871,7.278350340725979,191.50044345386968,186.1871389440149,255.61947222252968,0,0,0.0064319372177124,0.3788859639003988,0.1766580940338382,0.0191489607095718,0.0135091692209239,0.0456247627735137,0.0457729250192641,0.0391163229942321,0.0457729250192641,0.0992694497108459,-0.0357270240783691,-3.3974647521972656e-05,0.0421303510665901,-0.0038324296474465,0.0356930494308471,0.0459627807140367,0.1666666666666666,0.0,0.0,0.0052685742651852,-24.78010052504614,0.3528602898409971,-51.019898962604735,-51.019898962604735,26.239798437558598,51.37275925244573,-47.32271928124796,0.5356736802264024,26.239798437558598,51.37275925244573,26.23675517533248,25.793514362268148,0.0060474649071693,0.1066251993179321,0.0442289784550666,0.0546570420265197,0.0397254601120948,0.0,51.06576641897739,10.413065126994349,0.0002353385006433,0.6681536138057709,0.6683889523064142,1301.577300269271,0.0,4.136981637259396e-05,0.0195815906497777,0.0205761316872428,0.9588477366255144,0.0,0.0,0.0,0.0,0.0,0.0,-0.0128061175346374,25.62288061309552,10.436261124908398,0.0004339988794886,0.0111871367061128,1.147223672915327,-0.0173308253288269,26.55443403349297,10.7358820072474,0.0019590974296082,0.0304668215929782,6.61473689014708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015287697315216,0.0222860368521455,2.2968015262013743,0,0,0,
6,0.6681945025920868,0.0012266635894775,0.0046848133206379,0.0076586008071899,0.0254045426845567,0.1092579588294028,0.5611786395311356,0.0107150897383689,-0.0104932487010955,0.0149973803180536,93.00920954910283,98.67771618801984,85.52649407460218,100.3529746101617,125.32185228855016,132.54817213447885,3.346182945298593,0.0952880377817693,5.668506638917009,14.826480535559512,7.226319845928685,191.6869257371227,185.87946868476388,257.870024423029,0,0,0.0012266635894775,0.0702697090848755,0.0952880377817693,0.0223702937364578,0.0032213330268859,0.0468287318944931,0.0461432635784148,0.0383790731430053,0.0461432635784148,0.0989301800727844,-0.0021260976791381,-0.0123041868209838,0.0279253721237182,0.0168152153491973,0.0101780891418457,0.0111101567745208,0.2,0.0,0.0,0.0053241640456118,-23.89220526996032,0.887895255085823,-50.33204283823672,-50.33204283823672,26.43983756827641,51.21993809332255,-47.18377477262283,0.1389445086251228,26.43983756827641,51.21993809332255,77.20286805231488,25.637757948386295,0.0062484741210937,0.1070158630609512,0.0452335029840469,0.054546058177948,0.0398947894573211,0.0062484741210937,66.6738660304733,10.420483827515625,1.1726089705488574e-05,0.6681945025920868,0.6682062286817922,1267.0514471270503,1.5047035617499205e-06,0.0,0.0149973803180536,0.0246913580246913,0.9506172839506172,0.0,0.0,0.0,0.0,0.0,0.0,-0.0120275616645812,25.756729317437856,10.50087436560194,0.0005051080344321,0.0092892099662934,1.114359590177649,-0.017434537410736,25.61517449788274,10.642379226968924,0.0015424696591868,0.0405096850732305,1.2953384675151312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076586008071899,0.007418700521276,0.5350349652448259,0,0,0,
7,0.6679758131504059,-0.0065606832504272,-0.0116515159606937,-0.0077873468399047,-0.0163363292813317,0.109195590019226,0.5609274655580521,-0.001871064305305,-0.0075352191925048,0.0077640459757577,92.95598000721232,96.9412759329394,84.94140898421236,98.58781398666616,124.54843834815908,133.85581867746504,3.518813990347891,0.172631045049298,3.985295925727087,13.64640500245379,9.307380329305955,189.89725594015167,183.5292229708785,258.40425702562413,0,0,0.0065606832504272,0.3540554845213605,0.172631045049298,0.0001687556505211,-0.0222015380859366,0.0462872087955474,0.0455286353826523,0.038222998380661,0.0455286353826523,0.0965414047241212,-0.0102639198303222,-0.0819271802902188,-0.0090506672859175,0.0093881785869598,0.0716632604598965,0.0184388458728773,0.2333333333333333,0.0,0.0,0.005215837625379,-23.85179262397209,0.0404126459882228,-50.724491136223705,-50.724491136223705,26.87269851225161,50.76490378221193,-46.91037324619664,0.2734015264261913,26.87269851225161,50.76490378221193,59.54432743004935,25.437132196391204,0.0065744891762733,0.1070483475923538,0.0451615005731582,0.0552247166633605,0.0389541462063789,0.0065744891762733,128.78223813767062,10.464624166158838,8.940019444736921e-05,0.6679758131504059,0.6680652133448532,1286.4878171053963,0.0,4.3042564712436615e-05,0.0077640459757577,0.0288065843621399,0.9423868312757202,0.0,0.0,0.0,0.0,0.0,0.0,-0.0079482793807983,26.003794560744144,10.727094043708473,0.0005771672127751,0.0362395088231094,1.075039727244852,-0.0146056115627288,25.772349297414912,10.716242571072115,0.0010270245795272,0.0717339939472508,1.3527582435370151,-0.0111828446388244,26.30857619043246,10.61623250919343,0.0019861435226476,0.0706119135923642,5.362872945331709,0.0,0.0,0.0,0.0,0.0,0.0,-0.0077873468399047,0.0441403386432135,0.8474826090976002,0,0,0,Sit-To-Stand
8,0.6670874059200287,-0.0266522169113159,-0.0055423378944388,-0.0200915336608886,0.0061091780662549,0.1093796845525503,0.5593241527676582,0.0055228359997276,-0.0480993837118148,0.0484154152201165,93.47899173692564,97.18192672710644,85.39106622905436,98.6006612586655,123.6997206666846,134.5450971882306,3.6906618301066,0.1718478397587084,3.702934990180793,13.209595029611137,10.845376521545973,190.66091846403208,183.99172748771983,258.2448178549152,0,0,0.0266522169113159,1.376862745076967,0.1718478397587084,0.0090504437685016,0.0088816881179805,0.0452257543802262,0.044377863407135,0.0380754172801972,0.044377863407135,0.094753921031952,-0.0011301040649414,-0.054754614830017,-0.0082111358642578,0.0263120234012612,0.0536245107650756,0.034523159265519,0.2666666666666666,0.0,0.0,0.005009405499247,-23.32502908903024,0.5267635349418569,-51.26288509721742,-51.26288509721742,27.937856008187183,51.78964863215928,-46.00005882551912,0.9103144206775228,27.937856008187183,51.78964863215928,20.495124228552385,26.07688720021514,0.0069433283060788,0.1077632531523704,0.0453394204378128,0.0565177798271179,0.0374345351010561,0.0069433283060788,20.65415201546169,10.815419617198692,0.0003705290878119,0.6670874059200287,0.6674579350078407,1314.08043415613,0.0,0.0007103406662878,0.0484154152201165,0.0329218106995884,0.934156378600823,0.0,0.0,0.0,0.0,0.0,0.0,-0.0068693161010742,25.97789856474932,10.874148523980647,0.0005748154857745,0.047362055887529,1.1957890091628418,-0.012682557106018,25.89214115957488,10.701573129369535,0.000930891506999,0.0786185926371992,1.7524037947751685,-0.0072611570358276,25.613065577212808,10.407471859448435,0.0015702036590802,0.0706676013904732,1.4767473342243251,0.0,0.0,0.0,0.0,0.0,0.0,-0.0200915336608886,0.3507954510398541,0.4863508889536341,0,0,0,Sit-To-Stand
9,0.6670432984828949,-0.0013232231140136,-0.0022883713245391,0.0253289937973022,0.0032539665698996,0.1097006071358919,0.5580943673849106,0.0096276775002479,-0.0368935614824295,0.0381290840816637,92.85448440028016,97.30024136094778,84.83370708897336,98.66530977797618,122.6734203004558,135.36343223539464,3.858419855048417,0.1677580249418171,4.445756960667609,13.83160268900282,12.690011934938852,190.15472576122795,183.49901686694955,258.0368525358504,0,0,0.0013232231140136,0.0652124632897337,0.1677580249418171,-0.0659582018852233,-0.075008645653725,0.0430552512407303,0.0396183729171752,0.0374892950057983,0.0396183729171752,0.0849376320838928,-0.0013661384582519,-0.2958548069000277,-0.1373505592346191,0.0054341554641723,0.2944886684417758,0.1427847146987915,0.3,0.0,0.0,0.0047550038635746,-20.56869848140364,2.7563306076266016,-51.03580014020472,-51.03580014020472,30.46710165880108,53.79213074783132,-45.1119802127977,0.8880786127214151,30.46710165880108,53.79213074783132,8.07553515166343,27.073681096459936,0.0073405299335718,0.1089489310979843,0.0452895611524581,0.0559994578361511,0.0322778429836034,0.0073405299335718,26.22601088049753,11.521877480674853,3.4937813642166304e-06,0.6670432984828949,0.6670467922642591,1306.1251271847295,0.0,1.7509194094600389e-06,0.0381290840816637,0.037037037037037,0.925925925925926,0.0,0.0,0.0,0.0,0.0,0.0,-0.006922423839569,25.969539488862694,10.965067098273549,0.0004171905219712,0.0881845115143478,1.5340727934893228,-0.0086954534053802,25.95044836457048,10.642516416145735,0.0008577897280024,0.0779946474547997,1.815170988105352,-0.0011813640594482,25.75386562908573,10.34918047639208,0.0014702418318509,0.0674485499133746,1.550740082532392,0.0,0.0,0.0,0.0,0.0,0.0,0.0253289937973022,0.7064578634761602,2.2295670726847447,0,0,0,Sit-To-Stand
